Dosya_Adi,Payload_Bit,Toplam_Piksel,Guvenli_Piksel(K),Daralma_Orani(%),ABC_Suresi_sn,MSE,PSNR_dB,SSIM
4580.pgm,10000,65536,26672,40.6982,0.02625,0.075882,59.3294,0.999874
4581.pgm,10000,65536,28480,43.457,0.02174,0.076263,59.3076,0.999892
4582.pgm,10000,65536,40432,61.6943,0.02298,0.078003,59.2097,0.999891
4583.pgm,10000,65536,17424,26.5869,0.02271,0.074722,59.3963,0.999781
4584.pgm,10000,65536,28880,44.0674,0.03632,0.077377,59.2447,0.999866
4585.pgm,10000,65536,22304,34.0332,0.18687,0.077652,59.2293,0.999807
4586.pgm,10000,65536,34992,53.3936,0.03471,0.076096,59.3172,0.999914
4587.pgm,10000,65536,34672,52.9053,0.02488,0.076538,59.292,0.999831
4588.pgm,10000,65536,40064,61.1328,0.02341,0.07724,59.2524,0.999829
4589.pgm,10000,65536,41648,63.5498,0.02206,0.076187,59.312,0.99985
4590.pgm,10000,65536,21392,32.6416,0.02009,0.076401,59.2998,0.999814
4591.pgm,10000,65536,23152,35.3271,0.02371,0.076889,59.2722,0.999821
4592.pgm,10000,65536,25520,38.9404,0.0242,0.075363,59.3592,0.999816
4593.pgm,10000,65536,29664,45.2637,0.02521,0.077301,59.249,0.999762
4594.pgm,10000,65536,28144,42.9443,0.02704,0.076599,59.2886,0.999888
4595.pgm,10000,65536,33728,51.4648,0.02935,0.075409,59.3566,0.999907
4596.pgm,10000,65536,37776,57.6416,0.0387,0.076477,59.2955,0.999899
4597.pgm,10000,65536,17792,27.1484,0.04409,0.076035,59.3207,0.999813
4598.pgm,10000,65536,26192,39.9658,0.04998,0.077667,59.2284,0.999827
4599.pgm,10000,65536,22752,34.7168,0.0442,0.07576,59.3364,0.999822
4600.pgm,10000,65536,35200,53.7109,0.04205,0.076508,59.2938,0.999912
4601.pgm,10000,65536,36112,55.1025,0.03792,0.075592,59.346,0.999831
4602.pgm,10000,65536,48704,74.3164,0.04307,0.074966,59.3821,0.999885
4603.pgm,10000,65536,44032,67.1875,0.04856,0.07756,59.2344,0.999801
4604.pgm,10000,65536,20272,30.9326,0.04479,0.077393,59.2438,0.999774
4605.pgm,10000,65536,17520,26.7334,0.04219,0.076523,59.2929,0.999786
4606.pgm,10000,65536,25216,38.4766,0.04314,0.076797,59.2773,0.999812
4607.pgm,10000,65536,22016,33.5938,0.03847,0.07695,59.2687,0.999736
4608.pgm,10000,65536,27456,41.8945,0.04101,0.076279,59.3068,0.999909
